Name,Address,Detail URL,Phone,Website,Email
"SQUAD Coworking","5200 Boulevard des Laurentides #200, Laval, Quebec H7K 2J8","https://www.google.com/maps/place/SQUAD+Coworking/data=!4m7!3m6!1s0x4cc921d250293fb7:0xf8d88281b6b9522a!8m2!3d45.621846!4d-73.747327!16s%2Fg%2F11fvcn44xh!19sChIJtz8pUNIhyUwRKlK5toGC2Pg?authuser=0&hl=en&rclk=1","(514) 802-2470","https://squadcoworking.com","info@squadcoworking.com"
"BrassCo Immobilier","60 Rue Saint-Jacques, Montréal, QC H2Y 1L5","https://www.google.com/maps/place/BrassCo+Immobilier/data=!4m7!3m6!1s0x4cc91ba8d4dcf5e7:0xc21d5b23c5a36daa!8m2!3d45.50544!4d-73.556915!16s%2Fg%2F11jxtdwlhn!19sChIJ5_Xc1KgbyUwRqm2jxSNbHcI?authuser=0&hl=en&rclk=1","(514) 992-7638","https://brasscoimmobilier.com","micah@micahrich.com"
"Montréal CoWork","4388 R. Saint-Denis #200, Montréal, QC H2J 2L1","https://www.google.com/maps/place/Montr%C3%A9al+CoWork/data=!4m7!3m6!1s0x4cc91bd1ef0e9e51:0x977f6e3f969acfb0!8m2!3d45.5231473!4d-73.5812645!16s%2Fg%2F11dd_qmr9w!19sChIJUZ4O79EbyUwRsM-alj9uf5c?authuser=0&hl=en&rclk=1","(514) 664-2087","https://montrealcowork.com",""""
"Anticafe Montreal - Place Des Arts","294 Rue Sainte-Catherine O, Montréal, QC H2X 2A1","https://www.google.com/maps/place/Anticafe+Montreal+-+Place+Des+Arts/data=!4m7!3m6!1s0x4cc91a4f760f0485:0xf321bcd69a58c93!8m2!3d45.506696!4d-73.566326!16s%2Fg%2F11f53689z9!19sChIJhQQPdk8ayUwRk4ylac0bMg8?authuser=0&hl=en&rclk=1","(438) 870-6489","""""",""""""
"Crew Collective & Cafe","360 Rue Saint-Jacques, Montréal, QC H2Y 1P5","https://www.google.com/maps/place/Crew+Collective+%26+Cafe/data=!4m7!3m6!1s0x4cc91a584b01d105:0x84862d8825333968!8m2!3d45.5023198!4d-73.5593173!16s%2Fg%2F11b5qy5wg7!19sChIJBdEBS1gayUwRaDkzJYgthoQ?authuser=0&hl=en&rclk=1","(514) 285-7095","https://crewcollectivecafe.com",""""""
"Espace Thèsez-vous","7640 Rue Lajeunesse, Montréal, QC H2R 2J2","https://www.google.com/maps/place/Espace+Th%C3%A8sez-vous/data=!4m7!3m6!1s0x4cc919d0169d47df:0xb1826491c8250313!8m2!3d45.5416248!4d-73.6213864!16s%2Fg%2F11g4byffmf!19sChIJ30edFtAZyUwREwMlyJFkgrE?authuser=0&hl=en&rclk=1","""""","https://thesez-vous.com",""""""
"Kampus coworking","2700 Rue Angus, Montréal, QC H2H 1P3","https://www.google.com/maps/place/Kampus+coworking/data=!4m7!3m6!1s0x4cc91be50396c343:0xf4b53474949fa895!8m2!3d45.5387783!4d-73.562677!16s%2Fg%2F11gxzymbmg!19sChIJQ8OWA-UbyUwRlaiflHQ0tfQ?authuser=0&hl=en&rclk=1","(438) 946-9494","https://studiokampus.com","info@studiokampus.com"
"le Quartier Général - Espace collaboratif","9079 Rue Hochelaga suite 201, Montréal, QC H1L 2N8","https://www.google.com/maps/place/le+Quartier+G%C3%A9n%C3%A9ral+-+Espace+collaboratif/data=!4m7!3m6!1s0x4cc91d26f9455de7:0x6ae2f3386db65fc6!8m2!3d45.6055619!4d-73.5178711!16s%2Fg%2F11tx6w5mdp!19sChIJ511F-SYdyUwRxl-2bTjz4mo?authuser=0&hl=en&rclk=1","(514) 518-3018","https://leqgtetro.com","info@leqgtetro.com"
"Halte 24-7 - Coworking Montréal","4284 De La Roche St, Montreal, Quebec H2J 3H9","https://www.google.com/maps/place/Halte+24-7+-+Coworking+Montr%C3%A9al/data=!4m7!3m6!1s0x4cc91bc5726cbb99:0x9677634ad3be3789!8m2!3d45.526872!4d-73.5750136!16s%2Fg%2F1ptygrn5q!19sChIJmbtscsUbyUwRiTe-00pjd5Y?authuser=0&hl=en&rclk=1","(514) 524-1444","https://halte24-7.com","Facebook-OG@2x.jpg"
"2727 Coworking - Bureaux à louer","2727 Saint-Patrick St. #109, Montreal, Quebec H3K 0A8","https://www.google.com/maps/place/2727+Coworking+-+Bureaux+%C3%A0+louer/data=!4m7!3m6!1s0x4cc91b71527b833b:0x8efba3da0a6bac3b!8m2!3d45.4789763!4d-73.5730164!16s%2Fg%2F11hdl74s7b!19sChIJO4N7UnEbyUwRO6xrCtqj-44?authuser=0&hl=en&rclk=1","(438) 796-0017","https://2727coworking.com","admin@2727coworking.com"
"Espace Mile End","368 Av. Fairmount O, Montréal, QC H2V 2G4","https://www.google.com/maps/place/Espace+Mile+End/data=!4m7!3m6!1s0x4cc91980275625e9:0xa11a3a9c13fbdaab!8m2!3d45.519893!4d-73.597792!16s%2Fg%2F11gf9p8gbw!19sChIJ6SVWJ4AZyUwRq9r7E5w6GqE?authuser=0&hl=en&rclk=1","(514) 360-1688","https://espacemileend.com","utilisateur@domaine.com"
